,1,2,3,4,5,6,7,8,9,10
Mean Abs Percent Diff,-90.93104638742216,22.540152531718597,-11.39869206416035,-196.12780957512416,-22.8412485769475,30.377055286880335,30.956298958795994,-35.97510289531667,-50.10659871349807,634.5758882986966
Cov Abs Percent Diff,0.09493285715957127,0.1018930564001671,0.10073838694228959,0.09794188980212387,0.10114180106483303,0.09951561092798059,0.10283225147937712,0.1055342879744662,0.1045570240453564,0.10111143322574163
Chi2 Lower,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998
Chi2 Upper,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923
Chi2 True Stat,3202016.6110493783,3195532.890187567,3196323.3451395063,3203407.6452796226,3203447.64503704,3197766.031893647,3197656.6186888083,3206177.7705973084,3197983.6873855563,3197338.920388248
Chi2 Synthetic Stat,3116031.0246152426,3113565.2584174983,3113126.2573043387,3113622.1042456888,3111365.5026814663,3112001.574104799,3115926.5545995594,3113569.4157644813,3115311.707611573,3111064.9143907716
Marginal p-vals,"[1.2675923319695474e-49, 6.2847387869846075e-15, 0.002351252143128457, 0.2125659799787356, 4.164177152312837e-07, 1.860817255500289e-15, 3.092479351344511e-31, 1.9913775395799468e-43, 5.36489593297705e-64, 1.0292154942460312e-83, 3.373300622595604e-103, 2.948020922863904e-127, 6.8337352958553915e-146, 1.0794909446908309e-169, 1.0240221629457687e-188, 4.097804109555345e-201, 4.547195982114113e-215, 1.0497635327020659e-234, 3.2032679605378136e-251, 3.295841327044997e-267, 9.035079704849469e-290, 2.0935722499538826e-292, 5.863829e-317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.489695251162968e-64, 1.290624056449856e-12, 3.046871552361884e-06, 0.2721159726105208, 6.766887333852758e-06, 7.865037123081001e-16, 6.196922426677395e-32, 3.851992242515217e-52, 1.9223304553102344e-75, 1.6908803057608846e-92, 1.336132913432409e-110, 2.8379794570625955e-135, 4.434425194743851e-149, 2.2903693956242476e-167, 3.7917067585133246e-186, 1.380774140913742e-196, 2.3189663720390506e-220, 8.222035732772438e-234, 3.0723155230653023e-245, 1.2151726953857433e-265, 1.077931433828043e-272, 7.274995363384955e-287, 7.790121655606232e-294, 3.965866716277546e-309, 2.989158925e-315, 1.90422e-318, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3644366074383037e-43, 1.2292953646730881e-09, 0.0005926064714414029, 0.10331386396348585, 1.4807769191115668e-07, 5.472440101604322e-19, 1.3837385025597435e-34, 8.860158406769984e-49, 1.4449808102075921e-69, 1.3775733942104902e-90, 2.4796766324275785e-113, 2.7551444595713973e-132, 2.3563025608132212e-150, 3.253398525772603e-178, 1.5608129074604158e-191, 2.3375784398134245e-202, 8.740668762153006e-227, 2.862328572746906e-241, 1.7799477150659713e-257, 3.2680283486665935e-274, 1.9154211221459954e-278, 1.498158251641472e-294, 5.994033765072418e-300, 1.43797915188519e-309, 1.16264793e-316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.150469831132972e-36, 1.0617367440325437e-08, 0.009650370395571501, 0.06130913389827275, 6.802548693065108e-08, 4.133417100275143e-16, 3.271742069405453e-27, 3.8490885123875327e-44, 1.230172105484287e-65, 2.0025394345532047e-82, 1.5978152117386388e-102, 2.1839387871186122e-123, 4.886952616515764e-143, 1.7564885753235006e-159, 9.750827826792065e-182, 1.4198952583901848e-208, 2.7649859591216894e-222, 2.4938298174341175e-239, 9.687578794636748e-254, 2.5063126530417768e-269, 3.948326420388772e-283, 2.4380865325719093e-302, 6.347920820937e-312, 1.126e-321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3045426604086122e-42, 1.3023557353845044e-07, 0.04107641850548449, 0.018248039724648224, 1.2525722102153576e-08, 1.475413807696829e-22, 3.6625865881343585e-36, 7.907658604069975e-50, 2.962014630076454e-69, 2.6432202796259702e-101, 2.5409455563336795e-116, 1.5391615054399483e-138, 2.171855787403332e-162, 1.5151241511009254e-186, 3.084693812196116e-209, 6.639210117216312e-225, 3.1077405176094016e-240, 1.9408711254592052e-249, 1.3217855892129119e-263, 3.4233211497585443e-277, 9.126395569786632e-291, 6.871945867129438e-301, 5.88087919324e-313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0771679549669158e-44, 4.649998124772591e-10, 0.00021331697980416333, 0.40569933221265153, 2.7323181040298017e-05, 8.006826306953816e-14, 8.493064949160934e-28, 1.2810208994743533e-43, 1.8214358404036943e-63, 6.491638039818265e-80, 2.7856113347672994e-97, 3.937357207613873e-117, 7.247307921721635e-140, 4.259933190859124e-167, 2.497964389567412e-179, 2.067630239908833e-196, 3.119228424813594e-216, 3.4409471132350937e-230, 2.622733121905464e-242, 6.138740082320262e-256, 1.138895728265417e-269, 7.538228368693477e-283, 2.467533812048345e-292, 1.702963864380043e-309, 3.859666505e-314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.312073749334955e-45, 6.438466644836728e-09, 0.002237986879590291, 0.0376253638686912, 6.837618140778918e-10, 2.4285562337542447e-20, 1.8031587329516653e-37, 1.3869653732228164e-57, 2.3095142930615378e-74, 1.6449218128769439e-94, 1.1436763530163165e-112, 1.9786884712286637e-132, 1.658728413699289e-147, 3.912406225756235e-163, 5.430855647644616e-178, 1.5790084102234188e-201, 1.1810399048897499e-224, 7.923760507278347e-243, 9.476834305285464e-259, 1.561459597328998e-269, 1.0414653849147712e-282, 1.0770979588962749e-294, 4.519998326753e-312, 2.42566e-319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.1274015150611567e-54, 1.3414336821564434e-09, 0.031883928855694355, 0.0016860793873467955, 1.2540950659599317e-14, 1.4335293629376938e-29, 2.248655776600289e-41, 4.884855695314021e-60, 1.1790378761597657e-78, 1.8010830603881885e-104, 1.3598878816951074e-124, 6.847066813737683e-152, 2.508399681717905e-176, 4.541631546494712e-195, 1.53917018563504e-216, 2.272294589074838e-236, 4.188119735061153e-261, 1.3674867640456014e-273, 1.048999379261268e-288, 7.256760343733237e-304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.4657371583877113e-45, 2.0715165768252177e-05, 0.44450097819316214, 0.0005126906235959531, 2.8680160004056455e-12, 2.799818610917648e-28, 2.8738558596895908e-39, 8.38213395674415e-54, 5.0674355855316363e-76, 8.399261069987923e-101, 4.723869856181205e-116, 2.7047516867205637e-133, 7.665896062410299e-165, 7.527020707182422e-182, 7.063592483215573e-201, 4.285501282843461e-226, 2.373986602189378e-246, 4.512139533815426e-267, 1.7289196910619945e-274, 6.405946283782856e-297, 9.278593910898724e-302, 6.79943e-319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.673006236723523e-48, 1.7868204482151713e-13, 0.004825504162533915, 0.04705677595746227, 5.739290738435901e-07, 1.6593277615371341e-18, 9.33845907658996e-35, 1.510459427480177e-48, 1.550796657964209e-67, 7.280224345045396e-87, 1.620001117806879e-98, 5.4079639014027295e-121, 1.9504434329264363e-143, 7.370356698239029e-162, 5.104227658096513e-182, 3.937556848921066e-207, 1.7470270096311586e-228, 9.725095335640778e-244, 3.3169627617486213e-254, 4.2697944052501416e-268, 9.814018112192724e-286, 1.6671087547226164e-298, 3.7137627988725e-310, 2.4674799219835e-311, 1.2816e-320, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Original Pred Score,0.28356,0.28342,0.28249,0.28418,0.28427,0.28499,0.28365,0.28301,0.28596,0.28581
Synthetic Pred Score,0.28628,0.28617,0.28568,0.28634,0.28693,0.28698,0.28669,0.2864,0.28754,0.28728
Original Disc Score,0.45033,0.44677,0.44701,0.45104,0.44989,0.44509,0.44741,0.44975,0.44736,0.44413
