,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Mean Abs Percent Diff,106.06905284681197,-626.8856163746543,305.5715219729536,-238.20614446034654,98.11415519050172,-156.74473984825514,26.87762009338592,219.5650100226077,30.620045069165702,-23.384041179920782,-7.308645457744468,302.27342916955195,145.67945253641278,50.01982412355507,51.876069059434464,148.85723791748765,-228.17730212981826,-46.54721181364758,-125.46576312938474,25.90064324265933
Cov Abs Percent Diff,0.1156868513871202,0.11779947822353812,0.1142783585249781,0.11717532678021825,0.11522785907407776,0.112993081298108,0.11790328978708253,0.11285288468864951,0.1137754591696108,0.11196699236686636,0.1186012852969591,0.11925196168785368,0.1123509892008124,0.1170734720553109,0.11683837776077127,0.11142988456950363,0.12086715522873483,0.1129974467967424,0.11941021340869389,0.11605888550436447
Chi2 Lower,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998,3195042.535093998
Chi2 Upper,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923,3204959.2535175923
Chi2 True Stat,3196754.9659658317,3197523.9713734835,3198161.1645928533,3203937.2125830725,3199625.8009935133,3201867.2120364164,3198229.3427641233,3193749.0208727983,3200689.6257842164,3201836.415120799,3199090.794946829,3201603.940002665,3201693.344275813,3200478.4223812255,3200799.670058085,3197395.218462709,3199622.5818660907,3205108.741370009,3201195.1896346705,3198128.525015578
Chi2 Synthetic Stat,3053064.0566282556,3052222.175789622,3051854.0437927307,3053764.0007689386,3055334.0476138885,3052719.911630369,3054741.2746790233,3052862.0642441316,3055713.3193306155,3054525.1268325998,3051424.6723799715,3051088.0538339084,3051945.687904767,3051029.842499383,3051437.456302787,3055221.6844017664,3054590.0593923596,3053013.7521445737,3052277.7295728815,3049426.8099296335
Marginal p-vals,"[5.504623624619908e-144, 5.426608978965771e-177, 3.652604034821104e-250, 1.8150449717664535e-280, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.5662624e-316, 1.2940634736711886e-308, 4.923052527310557e-301, 4.7371518549360165e-291, 3.0865420487176476e-281, 4.022174602932786e-269]","[2.2930113854670987e-154, 9.504861574410977e-190, 4.85728799790219e-240, 8.104211226286828e-278, 7.62444723e-316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.163848e-317, 3.96586671627382e-309, 8.361832259785246e-300, 2.9087233771359526e-293, 6.230709929634679e-279, 4.7550841198164213e-262, 3.877077236218214e-255]","[1.5134161931956033e-141, 2.862086027147759e-178, 2.0416837183192868e-246, 1.5378133953696622e-277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.20529495e-315, 4.389180048664204e-304, 7.743149697017328e-295, 2.6737462753321756e-286]","[2.0939543783488526e-147, 5.75042636826591e-173, 1.7073817694221913e-229, 2.3078408465515905e-260, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.16e-321, 1.089e-320, 3.54325866497219e-305, 1.7452320625548976e-302, 1.1473764602044294e-304, 7.566761689846751e-289, 2.2359630926698754e-281, 1.0654090588767687e-270]","[7.4503013146008e-130, 8.474007510807246e-159, 2.5337558604173246e-218, 2.030007015996019e-264, 4.716263421203551e-306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.089e-320, 5.863829e-317, 1.0568017689264256e-302, 1.2213150495399868e-297, 7.806438571945047e-293, 9.035079704849469e-290, 2.9171338913146697e-277, 1.2151726953846868e-265, 9.30772158445997e-260]","[2.133409338234419e-166, 1.326086295693614e-178, 1.596637999741188e-239, 7.79720566530751e-275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.791067866e-315, 4.5766356227e-314, 2.828208012723177e-309, 2.2690175727129457e-299, 2.0673624374979174e-283, 1.4615912031271883e-270]","[3.758555820961678e-125, 1.951770129292152e-144, 1.0007754341162213e-190, 4.131587168511337e-233, 4.0206836281588114e-291, 3.81398083232e-312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.4344752814e-314, 8.361832259785246e-300, 5.4280917441799076e-297, 2.4389862187372347e-290, 1.0654090588767687e-270, 1.544932055689088e-263, 4.374638819675872e-259]","[7.754783258479439e-145, 5.739946736209824e-166, 6.52584152368903e-238, 4.0172620613877713e-277, 2.1189498573e-313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.304e-321, 4.5662624e-316, 3.218177310344e-312, 6.584343771576067e-309, 1.7704408254755015e-291, 1.987346337641034e-276, 3.2436323405911635e-264]","[7.531803634602253e-147, 2.2319565988397368e-160, 2.0332849011552796e-209, 2.7945062720618726e-258, 2.3729293662061973e-288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.91573664e-315, 7.563275642916476e-303, 4.4125212259395975e-299, 9.044176045913272e-296, 3.1458766829297378e-286, 2.9967252520478314e-275, 7.226719195392001e-267, 5.181782982766932e-258, 5.2096528848536826e-253]","[2.2513315512890464e-139, 7.892646030906193e-176, 1.5869601376417027e-237, 4.455547862598842e-282, 1.2931779108089536e-305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.483238880735e-311, 1.093125839141226e-305, 1.897910550100976e-304, 1.5298104642657045e-305, 4.923052527310557e-301, 2.086136111267777e-291, 1.4957735033509938e-283, 3.2718941124868526e-272, 3.469238423209055e-266, 8.56408553400548e-248, 1.0177489038365159e-237]","[7.262928144560746e-122, 8.499476009049226e-154, 2.0737743523667894e-201, 1.5100197008904684e-246, 8.65648232677327e-310, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.63692595e-316, 3.897163768099632e-297, 7.566761689846751e-289, 2.941331091305562e-280]","[1.7718936993452067e-132, 3.08898210333555e-170, 7.250092257230748e-220, 3.8054819348142464e-258, 1.214202094248135e-309, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.644e-320, 2.989158925e-315, 8.32120311e-315, 9.701341640905324e-305, 4.751604721580553e-294, 4.6950559986682283e-290, 7.720055349795134e-280, 1.502354677056618e-267, 4.5139057110625294e-256, 5.4401103556475606e-248]","[4.3571806498248965e-143, 6.995897601856957e-167, 1.6002356955304779e-217, 1.2985735707723431e-246, 6.18204774003686e-287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4901346e-317, 1.13476951305435e-310, 1.8097067614662719e-305, 2.2067950121268675e-300, 3.3840953318072296e-290, 6.413105327160294e-283, 3.086542048714886e-281]","[9.14548446730782e-153, 9.187666587805438e-151, 2.4115415714203675e-198, 3.4019813241701044e-244, 1.6768713317224167e-303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.844e-321, 3.004e-321, 1.0577857e-317, 5.560704350573037e-309, 6.606706690375335e-294, 4.6950559986682283e-290]","[3.179681520914036e-151, 1.4700263135802751e-180, 1.022038742933992e-239, 1.7242883990051615e-279, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.099021e-317, 1.4765292891340345e-302, 4.668022564927439e-296, 1.757685009995111e-290, 9.197487982212618e-273, 6.453685093436427e-269, 5.71293287560714e-261]","[4.091577432026475e-148, 3.81089281156989e-172, 2.2637734104444197e-219, 4.5196852400203425e-279, 5.4266788657e-314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.1234e-320, 2.082483431847e-311, 1.1473764602044294e-304, 3.412508425424428e-291, 5.853698338467522e-285, 5.306733060496988e-279]","[1.0264377108690715e-155, 1.2457094885524992e-192, 7.574049669573225e-245, 6.0275396497694305e-286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3442871236556e-310, 2.062792448129938e-302]","[9.768699754183591e-145, 2.0606638619289727e-182, 2.8686486440079023e-237, 2.1181051770764723e-277, 1.255498e-317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8804e-319, 2.828208012723177e-309, 2.2690175727108508e-299, 2.9082350712089803e-292]","[2.9812627398902124e-150, 5.809915228795229e-182, 1.3816392924093316e-244, 2.142027874078446e-284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.13532378635786e-310, 8.36183225977752e-300, 4.7655949194238034e-293]","[2.467350109552371e-132, 1.8065116662877033e-154, 1.7694683939278172e-209, 2.028404468856907e-251, 3.429120553930125e-293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.47e-321, 1.483238880735e-311, 2.6542700404005583e-304, 8.36183225977752e-300, 7.559805818706478e-297, 1.030030239165607e-287, 2.5188948339655797e-284, 5.2641526349310894e-272, 1.7799477150659713e-257, 2.69524947843339e-250]"
Original Pred Score,0.31867,0.32007,0.3202,0.32073,0.3196,0.318,0.32093,0.31911,0.31842,0.31945,0.32049,0.3207,0.31945,0.32008,0.32068,0.31987,0.32045,0.3195,0.31923,0.32005
Synthetic Pred Score,0.31882,0.31984,0.32022,0.31924,0.3192,0.31875,0.32088,0.31949,0.31799,0.31991,0.31999,0.32002,0.31921,0.31939,0.32045,0.31984,0.31966,0.31821,0.31942,0.31926
Original Disc Score,0.41087,0.41521,0.41169,0.41366,0.41006,0.41384,0.40977,0.41275,0.41094,0.41144,0.41233,0.41154,0.41125,0.41096,0.4119,0.41263,0.41141,0.41092,0.41033,0.4121
Synthetic Disc Score,0.51937,0.52242,0.52034,0.52074,0.51902,0.52095,0.51802,0.52046,0.51989,0.51893,0.51875,0.51885,0.5185,0.5213,0.52069,0.52031,0.51928,0.51916,0.52021,0.51958
